Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_100,"Gamma-secretase complex (Aph1a, Psen1, Psenen, Ncstn)","Q9D1D4, Q8BVF7, P57716, P49769, Q9CQR7","CORUM_Core, CORUM_All"
Complex_101,"Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta","P82347, Q62147, P82350, P82349, P82348","CORUM_Core, CORUM_All"
Complex_102,Troponin complex,"P02586, P02641, P02643","CORUM_Core, CORUM_All"
Complex_103,Telomere-associated protein complex,"P54274, O95271, Q96AP0, Q9BSI4, Q9NYB0, Q92878, Q15554, Q9NUX5","CORUM_Core, Humap2, CORUM_All"
Complex_104,SDH-mABC1-PIC-ANT-ATPase complex,"Q5RKI8, P21913, Q920L2, P16036, P15999, Q05962","CORUM_Core, CORUM_All"
Complex_105,E-box sequence-binding complex,"Q86U70, Q02577, Q9BXY8, P25791","CORUM_Core, CORUM_All"
Complex_106,Sos1-Abi1-Eps8 complex,"Q62245, Q8CBW3, Q08509",CORUM_All
Complex_107,APP-APBB1-LRP1 complex,"O00213, P05067, Q07954","CORUM_Core, CORUM_All"
Complex_108,CCT-Prefoldin complex,"Q3MHL7, Q9UHV9, Q99471, Q3T0K2, Q2T9X2, O15212, P61758, Q3T084, Q3ZBH0, Q2NKZ1, Q3T115, Q3ZCI9, Q9NQP4, Q32L40, O60925","CORUM_Core, CORUM_All"
Complex_109,Src-dynamin-synapsin complex,"P39053, P05480, O88935","CORUM_Core, CORUM_All"
Complex_110,Src-dynamin-synapsin complex,"P21575, Q9WUD9, P18484, P09951","CORUM_Core, CORUM_All"
Complex_111,PBAF complex (Polybromo- and BAF containing complex),"P60709, O14497, P51532, Q68CP9, Q86U86, Q969G3, O96019, Q92922, Q96GM5, Q92925, Q12824, Q8TAQ2","CORUM_Core, CORUM_All"
Complex_112,"CCT complex (chaperonin containing TCP1 complex), testis specific","Q3MHL7, Q3T0K2, Q2T9X2, Q3T084, Q3ZBH0, Q2NKZ1, Q3T115, Q3ZCI9, Q32L40","CORUM_Core, CORUM_All"
Complex_113,TFIIE complex,"P29084, P29083","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Humap2, Havugimana_2012"
Complex_114,TFIIF complex (transcription factor IIF),"P35269, P13984","Heusel_CSB_2019, CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_115,Src1-Ep300-Crebbp complex,"Q8BJ14, P45481, P70365","CORUM_Core, CORUM_All"
Complex_116,TFIID complex,"Q15545, P20226, O00268, P21675, Q16594, Q15542, Q6P1X5, Q15543, Q16514, Q15544, P49848, Q12962","CORUM_Core, CORUM_All"
Complex_117,Retrotranslocation complex,"Q9BUN8, Q86TM6, P57678","CORUM_Core, CORUM_All"
Complex_118,ATP synthasome,"Q06647, Q71S46, P29419, Q06646, Q09073, P19511, P11608, P16036, P29418, P31399, P35434, Q06645, P15999, P21571, P35435, P10719, P05504","CORUM_Core, CORUM_All"
Complex_119,Condensin II,"P42695, Q9NTJ3, Q86XI2, O95347, Q6IBW4","CORUM_Core, CORUM_All"
Complex_120,SWAP complex,"Q61937, Q6A028, P11103, P09405","CORUM_Core, CORUM_All"
Complex_121,COG complex,"Q96CS2, Q8WVM8, Q9UP83, P83436, Q04656, Q96MW5, Q96JB2, Q8WTW3, Q9Y2V7, Q9H9E3, Q14746","CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Humap2, Havugimana_2012"
Complex_122,"Protein-sorting complex (Stam2, Hgs, Eps15)","O88811, P42567, Q99LI8","CORUM_Core, CORUM_All"
Complex_123,"Protein-sorting complex (Stam1, Hgs, Eps15)","Q92783, Q99LI8, P42567","CORUM_Core, CORUM_All"
Complex_124,Ric-8A G(i) alpha-1 subunit complex,"P10824, Q80ZG1","CORUM_Core, CORUM_All"
Complex_125,Ric-8A G(i) alpha-2 subunit complex,"P04897, Q80ZG1","CORUM_Core, CORUM_All"
Complex_126,Ric-8A G(o) alpha-1 subunit complex,"P59215, Q80ZG1","CORUM_Core, CORUM_All"
Complex_127,Ric-8A G(q) alpha subunit complex,"P82471, Q80ZG1","CORUM_Core, CORUM_All"
Complex_128,Ric-8A G alpha 13 complex,"Q6Q7Y5, Q80ZG1","CORUM_Core, CORUM_All"
Complex_129,OGT-TRAK1-TRAK2 complex,"Q9UPV9, O60296, O15294","CORUM_Core, CORUM_All"
Complex_130,"Respiratory chain complex I (holoenzyme), mitochondrial","Q9P0J0, O95168, O75306, P03886, P03915, O43677, O43674, O00217, O43181, Q86Y39, Q16718, Q9Y6M9, O95298, P19404, P49821, O95167, O00483, O95139, O95169, O96000, O14561, P03891, Q9NX14, O43920, P03923, P03897, P56556, O95299, P17568, P56181, P51970, O75251, O75380, P03901, O43676, Q9UI09, O95182, O43678, O75489, Q16795, O15239, O95178, P28331, O75438","CORUM_Core, CORUM_All"
Complex_131,Nephrin multiprotein complex,"Q9WUX0, P16086, Q9Z1P2, Q9R044, O88382, Q62915, B5DFH1","CORUM_Core, CORUM_All"
Complex_132,PNUTS-PP1 complex,"P62136, Q96QC0","CORUM_Core, CORUM_All"
Complex_133,26S proteasome,"P49720, P55036, Q9UNM6, P25787, P28074, P17980, P62195, P28066, P35998, P25789, P62191, P20618, P49721, P60900, P43686, O14818, P28070, P28072, P62333, Q99436, P25788, P25786","CORUM_Core, CORUM_All"
Complex_134,Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b),"P04774, Q00954, P21707","CORUM_Core, CORUM_All"
Complex_135,Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b),"P04774, P29101, Q00954","CORUM_Core, CORUM_All"
Complex_136,Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b),"Q00954, P21707, P04775","CORUM_Core, CORUM_All"
Complex_137,Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b),"P29101, Q00954, P04775","CORUM_Core, CORUM_All"
Complex_138,Wave-2 complex,"Q9Y6W5, Q8WUW1, Q9Y2A7, Q7L576, Q8IZP0","CORUM_Core, CORUM_All"
Complex_139,Wave-2 complex (Rac-activated),"Q8CBW3, Q8BPG5, Q8BH43, Q7TMB8, P28660","CORUM_Core, CORUM_All"
Complex_140,BAF complex,"P60709, P51531, P63261, P51532, O94805, Q969G3, O96019, Q92922, Q96GM5, O14497, Q12824, Q8TAQ2, Q8NFD5","CORUM_Core, CORUM_All"
Complex_141,Mitotic checkpoint complex (MCC),"Q13257, Q12834, O43684, O60566","CORUM_Core, CORUM_All"
Complex_142,20S proteasome,"Q92905, P49720, Q9Y6R4, Q9UNM6, P25787, Q9Y244, P09884, P28074, Q14181, Q13619, Q06323, P28066, P61289, P35998, P25789, Q969U7, P20618, O00231, P08865, Q7L5N1, O95456, P49721, P60900, P29144, P63208, P07942, O14818, P28070, P49642, Q9UL46, O60343, P33991, Q8TAA3, P28072, Q99436, P62333, P25788, P25786","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Humap2"
