Protein A,Protein B
P55083,Q9BWG4
P55083,Q9BWW4
P55083,Q6UWY0
P55083,Q8NBL1
P55083,Q9H013
P55083,Q7Z4H8
P55083,Q8NBZ7
P55083,Q6AZY7
P55083,O95897
P55083,Q9Y251
P55083,O95502
P55083,Q14680
P55083,Q96F46
P55083,P49641
P55083,Q86UD1
P55083,P15848
P55083,Q02083
P55083,Q96MM7
P55083,Q8NCH0
P55083,Q9Y653
P55083,P23560
P55083,Q9NRB3
P55083,P29122
P55083,Q99985
P55083,P35475
P55083,P51688
P55083,P34820
P55083,Q9UJH8
P55083,Q9H3T3
P55083,O95407
P55083,Q24JP5
P55083,Q8IUL8
P55083,Q08397
P55083,Q99943
P55083,Q9BTN0
P55083,P51511
P55083,Q9BYC5
P55083,Q9NY47
P55083,P30533
P55083,Q9NZV5
P55083,Q641Q3
P55083,Q12891
Q96EY8,Q15907
Q96EY8,Q6WKZ4
Q96EY8,P11182
Q96PU9,P30613
Q96PU9,Q9BUE0
Q96PU9,Q9H944
Q3KNV8,Q9H3S4
Q3KNV8,P11226
Q3KNV8,P30613
Q14554,Q13490
Q14554,P11226
Q14554,Q9HCN8
Q14554,Q8IUE1
Q14554,Q12933
Q14554,P28070
Q14554,Q15084
Q14554,Q709F0
Q14554,Q9Y2B0
O43692,Q9P2E5
O43692,P13497
O43692,P55268
O43692,Q9NYU1
O43692,Q9UIW2
O43692,Q14697
O43692,Q9BWS9
O43692,Q93063
O43692,O75581
O43692,O75197
O43692,Q9BZQ6
O43692,Q8NBL1
O43692,Q6UWY0
O43692,Q6ZMP0
O43692,P34059
O43692,A8CG34
O43692,Q92673
O43692,Q92791
O43692,P01130
O43692,Q9Y4K0
O43692,O94925
O43692,Q13751
O43692,P11047
O43692,Q8IWF2
O43692,Q8NBP7
O43692,Q8IVL6
O43692,O00462
O43692,Q8IZA0
O43692,Q9UH99
O43692,Q6P9A2
O43692,P54802
O43692,Q96AQ6
O43692,Q495W5
O43692,P30613
O43692,Q9UKP4
O43692,Q9H2X0
O43692,P07996
O43692,P22607
O43692,P22455
O43692,Q8NBZ7
O43692,Q32P51
O43692,Q5T4B2
O43692,Q5NDL2
O43692,Q9GZM7
O43692,Q6UVK1
O43692,P50613
O43692,O00754
O43692,P00374
O43692,P51948
O43692,O15230
O43692,O00468
O43692,P48645
O43692,Q99988
O43692,Q86SR1
O43692,Q8NBK3
O43692,P98160
O43692,Q96F46
O43692,Q92824
O43692,Q02083
O43692,Q13214
O43692,P51688
O43692,Q7Z5Y6
O43692,Q9UJH8
O43692,Q4G0M1
O43692,Q9Y2E5
O43692,Q9H497
O43692,Q8IUL8
O43692,P01920
O43692,Q9H1B5
O43692,P51511
O43692,Q92729
O43692,Q8IXK2
O43692,Q641Q3
Q8N2W9,Q96EY8
Q8N2W9,Q9NX00
Q8N2W9,Q15907
Q8N2W9,P78395
Q8N2W9,Q02880
Q8N2W9,Q9ULM3
Q8N2W9,O14530
Q9H8K7,Q96CW1
Q9H8K7,O75694
Q9H8K7,Q96F86
Q9H8K7,Q15311
Q9H8K7,Q00610
Q9H8K7,P53675
Q9H8K7,Q9NSY1
Q9H8K7,Q2M2I8
Q9H8K7,P48378
Q9H8K7,P22670
Q9H8K7,Q7Z6B0
Q9H8K7,P51114
Q9H8K7,O75146
Q9H8K7,O00291
Q9H8K7,Q96D71
Q9H8K7,Q9P2X3
Q9H8K7,O94973
Q9H8K7,P28482
Q9H8K7,P27361
Q9H8K7,Q10567
Q9H8K7,Q9Y6I3
Q9H8K7,Q9H201
Q9H8K7,O00443
Q9H8K7,Q14677
Q9H8K7,Q13492
Q9H8K7,Q9Y6R0
Q9H8K7,P49757
Q9H8K7,O14976
Q9H8K7,P63167
Q9H8K7,P49902
Q9H8K7,Q9UBP9
Q9H8K7,P29144
Q9H8K7,P11182
Q9H8K7,O00411
Q9H8K7,Q9P1U1
Q9H8K7,Q96KB5
Q9H8K7,Q9NVV4
Q9H8K7,Q16643
Q9H8K7,O15254
Q9H8K7,P67775
Q9H8K7,Q96FJ0
Q9H8K7,Q8NHV4
Q9H8K7,O95630
Q9H8K7,Q9NYZ3
Q9H8K7,Q9ULA0
Q9H8K7,P30566
Q9H8K7,O15111
Q9H8K7,P53680
Q9H8K7,O95219
Q9H8K7,Q8TEH3
Q9H8K7,Q32P51
Q9H8K7,O43426
Q9H8K7,P05090
Q9H8K7,Q9Y446
Q9H8K7,Q5VWJ9
Q9H8K7,Q9Y487
Q9H8K7,Q9P1Z2
