ComplexID,Subunits_UniProt_IDs
Complex_143,"O14497,P51531,Q12824,Q8NFD5,Q8TAQ2,Q92922,Q92925,Q969G3,Q96GM5"
Complex_144,"Q13547,Q92769"
Complex_145,"O14949,P07919,P08574,P14927,P22695,P31930,P47985,Q9UDW1"
Complex_146,"O14521,P21912,P31040,Q99643"
Complex_147,"O14521,P21912,P47985,Q99643"
Complex_148,"P47985,P53597,Q96I99,Q9P2R7"
Complex_149,"Q15369,Q15370"
Complex_150,"O14548,O14949,P00403,P07919,P08574,P09669,P10606,P13073,P14927,P15954,P20674,P22695,P31930,P47985,Q9UDW1"
Complex_151,"O14949,P09669"
Complex_152,"O00483,O14949,O75251,O95169,P07919,P08574,P14927,P22695,P31930,P47985,Q86Y39,Q9NX14,Q9UDW1,Q9Y375"
Complex_153,"O43242,P17980,P43686,P55036,P62191"
Complex_154,"O00232,Q15008"
Complex_155,"O14579,P35606,P48444,P53618,P53621,P61923,Q92538,Q9Y678"
Complex_156,"O14579,P35606,P48444,P53618,P53621,P61923,Q9Y678"
Complex_157,"P62263,P62269,P62280"
Complex_158,"P59780,Q9Y2T2"
Complex_159,"O00231,O00487,O14818,O43242,P17980,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43686,P55036,P60900,P61586,P62191,P62195,Q15008,Q99436,Q9UNM6"
Complex_160,"O00232,P48556,P49721,P68400,Q13200,Q99460"
Complex_161,"P20618,Q13153,Q13177,Q13418"
Complex_162,"P49674,Q04721,Q13618"
Complex_163,"Q06323,Q14997,Q9UL46"
Complex_164,"P61289,Q14738,Q9UL46"
Complex_165,"P51665,Q9BTU6"
Complex_166,"O75832,P35222"
Complex_167,"P49674,P61289"
Complex_168,"O00231,O00487,O14818,O43242,P17980,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43686,P55036,P60900,P61586,P62191,P62195,Q15008,Q96CW1,Q99436,Q9UNM6"
Complex_169,"O00231,O00232,O00487,O43242,P51665,Q15008,Q9BTU6,Q9UNM6"
Complex_170,"P49674,P61289,P62877,Q00610,Q04721,Q13618,Q92530"
Complex_171,"O14653,O15155,P53621,P54920,Q13190,Q8WVM8,Q92538,Q9NYM9"
Complex_172,"P09496,P54920,Q8WVM8"
Complex_173,"O14662,O43752,O60499,O95721,P51809,Q12846,Q13277,Q15836,Q9BV40,Q9UNK0"
Complex_174,"O14662,P51809,Q12846,Q13190,Q15836"
Complex_175,"O43752,Q9NYM9,Q9UEU0"
Complex_176,"Q13190,Q96AJ9,Q9NYM9"
Complex_177,"P54920,Q8WVM8"
Complex_178,"P19022,P35221,P35222,Q04721,Q92542"
Complex_179,"P19022,P35221"
Complex_180,"P00533,P78536"
Complex_181,"O14686,O60568,Q15291,Q6ZW49,Q9P0U4,Q9UBL3"
Complex_182,"P35222,Q13363"
Complex_183,"O94776,Q09028,Q13547,Q14839,Q16576,Q86YP4,Q92769"
Complex_184,"Q09028,Q13547,Q14839,Q16576,Q8TEQ6,Q92769,Q9BQA1"
Complex_185,"O94776,P22087,Q09028,Q13547,Q16576,Q92769,Q9UBB5"
Complex_186,"O14893,P04637,P57678,Q8WXD5,Q9H840,Q9UHI6"
Complex_187,"P62304,P62306,P62314,P62316,P62318"
Complex_188,"P62306,P62314,P62316"
Complex_189,"P62304,P62316,P62318"
Complex_190,"O14744,Q9BQA1"
Complex_191,"P62304,P62306"
Complex_192,"O94776,P22087"
Complex_193,"O00231,O00487,O43242,P04843,P04844,P06493,P11142,P11940,P17980,P25789,P35998,P43686,P55786,P60468,P61619,P62191,P62195,P62877,Q04637,Q13042,Q13257,Q99460,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX6,Q9UNM6"
Complex_194,"O15143,O15144,O15145,P11940,P59998,P61158,P61160,Q92747,Q9UL46"
