ComplexID,Subunits_UniProt_IDs
Complex_257,"P00387,P17987,P40227,P49368,P50991,P61106,Q86UE4,Q96HY6,Q99832"
Complex_258,"P00387,P61106"
Complex_259,"Q15532,Q92785"
Complex_260,"O95218,Q15637"
Complex_261,"Q7Z4V5,Q9NQG5"
Complex_262,"Q00341,Q15637"
Complex_263,"P50914,P62917"
Complex_264,"P00387,Q9H3G5,Q9NQC3"
Complex_265,"P00387,Q9NQC3"
Complex_266,"P30260,Q8NHZ8,Q9H1A4,Q9UJX2,Q9UJX4"
Complex_267,"Q9Y5J9,Q9Y5L4"
Complex_268,"O75489,P51970,Q9BQ95"
Complex_269,"O75489,O95292,P03915,P51970"
Complex_270,"O94766,P54709,Q96CS3,Q9NV96,Q9Y5M8"
Complex_271,"Q9UBF2,Q9Y678"
Complex_272,"P11021,P27797,P30101"
Complex_273,"P05387,P62917"
Complex_274,"P05388,P62917"
Complex_275,"O14802,O15160,O15318,P05423,P62875,Q9BUI4,Q9H1D9,Q9NVU0,Q9NW08,Q9Y2S0"
Complex_276,"O14802,O15160,P05423,P62875,Q9BUI4,Q9H1D9,Q9NVU0,Q9NW08,Q9NWS0,Q9Y2S0"
Complex_277,"O15318,Q9BUI4,Q9H1D9"
Complex_278,"P06576,P24539"
Complex_279,"O43159,O75683,O75817,O76021,P06748,P36578,P39023,P42696,P46087,P46777,P61513,P62241,P62424,P62750,P62906,Q02878,Q13610,Q13823,Q15050,Q15397,Q1ED39,Q5SSJ5,Q5T3I0,Q6DKI1,Q8IY81,Q8N5L8,Q8TDD1,Q8TDN6,Q8WTT2,Q96GQ7,Q96ME7,Q99575,Q99848,Q9BQG0,Q9BYG3,Q9BZE4,Q9H8H2,Q9NQ55,Q9NR30,Q9NW13,Q9NWT1,Q9NY93,Q9NZM5,Q9Y221,Q9Y3C1"
Complex_280,"O75817,O75818,O95707,P78345,Q8N5L8,Q99575"
Complex_281,"O76021,P62750,Q5SSJ5,Q9NR30,Q9Y3C1"
Complex_282,"P46777,Q9Y3C1"
Complex_283,"Q8IZL8,Q9NXF1"
Complex_284,"P07910,Q12905"
Complex_285,"P07919,P14927"
Complex_286,"P08240,Q96HY6,Q9Y5M8"
Complex_287,"P08559,P11177"
Complex_288,"P08574,P14927,Q9UDW1"
Complex_289,"P08579,P09661"
Complex_290,"P62873,P63096,Q9BTX1,Q9NRG9,Q9Y672"
Complex_291,"P62873,P62879,Q9NRG9"
Complex_292,"P04899,P08754,P62879"
Complex_293,"P09001,Q13084,Q9BYD3,Q9BZE1,Q9HD33,Q9NP92,Q9NYK5"
Complex_294,"P09001,Q9BYD3,Q9NP92,Q9NYK5"
Complex_295,"P00387,P61019,Q8NHG7,Q9UNN8"
Complex_296,"P00387,P29992,P61019,Q8NHG7"
Complex_297,"Q93050,Q9Y487"
Complex_298,"O75694,Q96EB6"
Complex_299,"A5YKK6,O75175,Q92600,Q9C0C2,Q9H9A5,Q9NZN8,Q9UIV1"
Complex_300,"Q6VN20,Q7L5Y9,Q8IUR7,Q96S59,Q9H871,Q9NWU2"
Complex_301,"O75127,P09001,P51398,P82650,P82664,P82675,P82933,Q13084,Q13310,Q14197,Q6PKG0,Q7Z2W9,Q7Z7H8,Q86TS9,Q8IVS2,Q8TAE8,Q96EH3,Q96EL2,Q96EY7,Q96SI9,Q9BYC8,Q9BYD1,Q9BYD2,Q9BYD3,Q9BYD6,Q9H2U1,Q9H9J2,Q9HD33,Q9NVS2,Q9NX20,Q9P015,Q9P0M9,Q9Y2R9,Q9Y3D5,Q9Y3D9"
Complex_302,"O43390,O75127,P09651,P61247,P62081,P62841,P62979,Q96KR1,Q9H2U1"
Complex_303,"P09651,Q13310,Q9NUD5"
Complex_304,"P62841,Q99459"
Complex_305,"Q6PKG0,Q9NX20"
Complex_306,"Q9NUD5,Q9Y2Z4"
Complex_307,"O15514,P19387,P24928,P30876,P36954,P62487,P62875,Q8IXW5"
Complex_308,"P19388,P30876,P62875"
Complex_309,"Q9GZY4,Q9NWS0"
Complex_310,"Q8IVS2,Q9NWS0"
Complex_311,"Q02978,Q16850"
Complex_312,"P04439,P23229,P42356,P54709,P61769,Q15738,Q8N5K1,Q8WTV0,Q92520,Q96KC8,Q9BRX8,Q9H813,Q9NUQ7,Q9NV96"
Complex_313,"P04439,P42356,P54709,P61769,Q15738,Q8N5K1,Q92520,Q96KC8,Q9NUQ7"
Complex_314,"P10515,P11177"
Complex_315,"P11274,P19784"
Complex_316,"P11441,Q7L5D6"
Complex_317,"P62699,Q6VN20,Q7L5Y9,Q8IUR7,Q96S59,Q9H7D7,Q9H871,Q9NWU2"
Complex_318,"O00165,P13591,Q86VR2"
Complex_319,"O14786,O75915,Q5BJH7,Q9NP72"
Complex_320,"P13716,Q99439"
Complex_321,"P51153,P61803,Q86Y82,Q92544"
Complex_322,"P61803,Q86Y82,Q92544"
Complex_323,"Q02978,Q9UPN7"
Complex_324,"Q13509,Q9UPN7"
Complex_325,"O14548,O14949,P07919,P08574,P14927,P22695,P31930,Q9UDW1"
Complex_326,"O75348,P21281,P36543,P38606,Q16864,Q9Y5K8"
Complex_327,"P36543,P61421,Q93050,Q9Y487"
Complex_328,"O43390,O75533,O95793,P08865,P15880,P23396,P46782,P46783,P61247,P62277,P62841,P62979,P67809,Q13601,Q15427,Q2NL82,Q5JTH9,Q6P158,Q8N9T8,Q8TBF4,Q96GA3,Q9H0A0,Q9NVP1"
Complex_329,"O95793,P54105,P62277,Q16637,Q1ED39,Q4G0J3,Q8IZL8,Q9BRT6,Q9H0A0,Q9HCE1,Q9NQ55,Q9NUL3,Q9NVP1,Q9NXF1,Q9UPY3"
Complex_330,"P15880,P62841,Q12789"
Complex_331,"P62081,P62847"
Complex_332,"O15042,Q5JTH9"
Complex_333,"P46782,P62841"
Complex_334,"P06748,Q9H074"
Complex_335,"P49770,Q13144,Q9NR50,Q9UI10"
Complex_336,"Q13144,Q9NR50"
Complex_337,"O75643,O94906,P35613,Q6P2Q9,Q9BUQ8"
Complex_338,"O75643,O94906,Q6P2Q9,Q9BUQ8"
Complex_339,"P19784,P68400"
Complex_340,"O94906,P35613"
Complex_341,"P16435,Q7KYR7,Q9Y5M8"
Complex_342,"Q8TCC3,Q9BYC9,Q9BYD2,Q9NVS2,Q9P0M9"
Complex_343,"P06748,P50914,Q9Y2R4"
Complex_344,"P61247,Q12905,Q9Y2R4"
Complex_345,"P61247,Q12905"
Complex_346,"P17568,P51970"
Complex_347,"P04920,P55084,Q8NBJ4"
Complex_348,"O00592,O15439,O95297,P04920,P07942,P08183,P11117,P17301,P17931,P50443,P55011,P56199,Q06124,Q12913,Q13740,Q15262,Q15907,Q16363,Q6UVK1,Q7Z3C6,Q8IZA0,Q9P2B2,Q9UIQ6,Q9UP95,Q9Y639,Q9Y6M5,Q9Y6M7,Q9Y6X5"
Complex_349,"Q8IZA0,Q9UIQ6"
Complex_350,"P17301,Q13057"
Complex_351,"P17931,Q7Z3C6"
Complex_352,"P18031,P30519"
Complex_353,"P18615,Q8IXH7,Q8WX92,Q9H3P2"
Complex_354,"P18615,Q8WX92,Q9H3P2"
Complex_355,"P18621,P55209"
Complex_356,"O75489,P19404,P51970"
Complex_357,"P20338,Q8NBX0"
Complex_358,"P20339,Q13636"
Complex_359,"P20618,P25786,P28070,Q99436"
Complex_360,"P12268,P20839"
Complex_361,"P12268,P49327"
Complex_362,"O00399,O75935,Q9UJW0"
Complex_363,"Q15165,Q7L1Q6"
Complex_364,"P14927,P22695"
Complex_365,"P15880,P23396,Q13895"
Complex_366,"P23526,Q9BV19"
Complex_367,"P23526,Q6AI12"
Complex_368,"P40123,Q01518"
Complex_369,"P24534,P26641"
Complex_370,"P06576,P25705,P30049,P48047"
Complex_371,"P24539,P25705"
Complex_372,"O14818,O95456,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28074,P49720,P49721,P60900,Q969U7,Q99436,Q9Y244"
Complex_373,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28074,P49720,P49721,P60900,Q99436"
Complex_374,"P49720,P49721,P61289,Q99436,Q9GZU8,Q9Y244"
Complex_375,"Q06323,Q14997,Q9UL46"
Complex_376,"Q06323,Q9UL46"
Complex_377,"P25787,P60900"
Complex_378,"Q5JS54,Q9BT73"
Complex_379,"P61289,Q92530"
Complex_380,"P25786,P25787,P28070,Q99436"
Complex_381,"P25786,P28070,Q99436"
Complex_382,"P25786,P25787,Q99436"
Complex_383,"P25786,P25788,P28070,Q99436"
Complex_384,"P25786,P25788"
Complex_385,"P25786,P25789,P28070,Q99436"
Complex_386,"P25786,P25789"
Complex_387,"P26373,P82675,P82933,Q13084,Q14197,Q7Z7F7,Q8N5N7,Q8TAE8,Q8TCC3,Q92552,Q96CB9,Q96DV4,Q96EL2,Q96EY7,Q96GC5,Q9BQ48,Q9BYC8,Q9BYC9,Q9BYD1,Q9BYD2,Q9BYD6,Q9H0U6,Q9HD33,Q9NP92,Q9NQ50,Q9NRX2,Q9NVS2,Q9NX20,Q9P0M9,Q9Y291"
Complex_388,"P26373,P42696,P61313,Q96CB9,Q99848,Q9NQ55"
Complex_389,"Q12789,Q9Y5Q9"
Complex_390,"P26640,P26641"
Complex_391,"P24534,P26640,P26641,P29692,P68104,Q05639"
Complex_392,"O00231,O00232,O00487,O14818,O43242,P17980,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28074,P35998,P43686,P49720,P49721,P55036,P60900,P62195,P62333,Q13200,Q15008,Q99436,Q99460,Q9UNM6"
Complex_393,"O00231,O00232,O00487,O43242,P51665,Q15008,Q9UNM6"
Complex_394,"O00232,Q99460"
Complex_395,"P43686,P62195"
Complex_396,"O00231,Q92530"
Complex_397,"P25786,P28066,P28070,Q969U7,Q99436"
Complex_398,"P25786,P28066,P28070,Q99436"
Complex_399,"P25786,P28066,Q969U7"
Complex_400,"O00231,O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49720,P49721,P60900,Q99436,Q9UNM6"
Complex_401,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49720,P49721,P60900,Q969U7,Q99436,Q9Y244"
Complex_402,"O00231,O00232,Q9UNM6"
Complex_403,"P28070,P28072,Q99436"
Complex_404,"P25786,P28070,P28074,Q99436"
Complex_405,"O75489,P28331,P51970"
Complex_406,"P61803,Q16880,Q9H1E5,Q9NP72,Q9Y320"
Complex_407,"P61803,Q9NP72,Q9Y320"
Complex_408,"O60476,O75976,P04439,P61769,Q16625,Q68D91,Q6UW68,Q6ZRP7,Q86X29,Q8NBM8,Q8WUD6,Q9C0E8,Q9H3K2,Q9NX62,Q9NZ53"
Complex_409,"Q6UW68,Q8NBM8,Q8WUD6,Q9C0E8,Q9H3K2,Q9NX62"
Complex_410,"O75976,Q86X29"
Complex_411,"P26641,P29692"
Complex_412,"O43759,O60831,P18031,P30519,P62879,Q6UW68,Q8N5K1,Q9BRR6,Q9BU23"
Complex_413,"O43759,O60831,P30519,P62879,Q6UW68,Q8N5K1,Q9BRR6,Q9BU23"
Complex_414,"Q16880,Q6NUQ4"
Complex_415,"O14949,P31689,Q96SU4,Q9BXB4"
Complex_416,"P14927,P31930"
Complex_417,"P27348,P31947,P61981,P63104"
Complex_418,"P32322,Q96C36"
Complex_419,"Q53H96,Q96C36"
Complex_420,"Q53H96,Q9UKK9"
Complex_421,"P34897,Q9NWV8"
Complex_422,"P15927,P35244"
