ComplexID,Subunits_UniProt_IDs
Complex_143,"O75817,O75818,O95059,O95707,P78345,P78346,Q8N5L8,Q99575"
Complex_144,"P09884,P25205,P33991,P33992,P33993,P49736,Q14566"
Complex_145,"P40123,Q01518"
Complex_146,"P07900,P08238,P53041,Q58FF6"
Complex_147,"P06493,P33992,Q96GD4"
Complex_148,"P06753,P09493,P60660,P62158,P67936,Q05682"
Complex_149,"Q8NEB9,Q99570,Q9P2Y5"
Complex_150,"O14972,O60826,Q13868,Q567U6,Q7Z3J2,Q7Z4G1,Q86VX2,Q86X83,Q8N668,Q9GZQ3,Q9H0A8,Q9P000,Q9UBI1,Q9Y6G5"
Complex_151,"P60953,P62158,P63000"
Complex_152,"Q7L576,Q8IZP0,Q92558,Q96F07,Q9NYB9,Q9Y2A7,Q9Y6W5,Q8WUW1,O00401"
Complex_153,"P60953,Q96RU3"
Complex_154,"Q96RQ3,Q9HCC0"
Complex_155,"P07237,P13674,O15460"
Complex_156,"P19784,P67870,P68400,P11274"
Complex_157,"P23526,Q9BV19"
Complex_158,"O75496,Q96QF0"
Complex_159,"A5A3E0,Q58FF6"
Complex_160,"P49321,P62805,Q9NVP2,Q9Y294"
Complex_161,"O43809,Q16630"
Complex_162,"P19387,P30876,Q9BWH6"
Complex_163,"O75822,P55884,Q13347,O75821"
Complex_164,"P08238,Q9UNE7"
Complex_165,"O00231,O00232,O00487,O14818,O43242,P17980,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43307,P43686,P46777,P48556,P49721,P55036,P60900,P62191,P62195,Q13200,Q15008,Q96A35,Q99436,Q99460,Q9BUN8,Q9BYD3,Q9NWU5,Q9P015,Q9UNM6,P61586,Q13547,Q92769,O14920,O15111,Q03135,P25787,P49720,P62333,O43264,P62158,Q14997,P35221,Q96CW1,P53041,Q16763,Q09028,O14519,O94776,O95983,Q13033,Q13330,Q14839,Q16576,Q86YP4,Q8WXI9,Q9BTC8,Q9UBB5,O95602,Q9H9Y6,P68400,Q9HAV0,P78537,P42345,O15446,O14497,O60341,Q9UKL0,Q9Y5K5,Q9Y6K9"
Complex_166,"O00116,P43304,Q8WVX9,P28288"
Complex_167,"O00264,Q15005"
Complex_168,"O00399,O75935,P42025,P61163,Q13561,Q14203,Q9BTE1,Q9NZ32,Q9UJW0,P18433,P47755"
Complex_169,"O95295,P78537,Q13330,Q6QNY0,Q6QNY1,Q8TDH9,Q96EV8,Q9NUP1,Q9UL45,O75695,P35613,Q96CS3,Q5VYK3,Q96A65,Q9UIA9,P05556,P53985,O60637,Q9HBH5,P51648,P60033,P62879,Q9Y282,P62834,P62873"
Complex_170,"Q6P1J9,Q6PD62,Q8N7H5,Q8WVC0,Q9GZS3"
Complex_171,"O60783,P09001,P49406,P51398,P52815,P82650,P82663,P82664,P82673,P82675,P82912,P82914,P82921,P82930,P82932,P82933,Q13084,Q13405,Q16540,Q4U2R6,Q5T653,Q6P161,Q6P1L8,Q7Z2W9,Q7Z7F7,Q7Z7H8,Q86TS9,Q8IXM3,Q8N5N7,Q8N983,Q8TCC3,Q92552,Q92665,Q96A35,Q96DV4,Q96EL2,Q96EL3,Q96GC5,Q9BQ48,Q9BRJ2,Q9BYC8,Q9BYC9,Q9BYD1,Q9BYD2,Q9BYD3,Q9BYD6,Q9BYN8,Q9BZE1,Q9H0U6,Q9H2W6,Q9H9J2,Q9HD33,Q9NP92,Q9NQ50,Q9NRX2,Q9NVS2,Q9NWU5,Q9NX20,Q9NYK5,Q9P015,Q9P0M9,Q9Y291,Q9Y2Q9,Q9Y2R5,Q9Y2R9,Q9Y399,Q9Y3B7,Q9Y3D3,Q9Y3D5,Q9Y3D9,Q9Y676,O75127,P62699,Q14197,Q8IVS2,Q8TAE8,Q96EH3,Q96S59,Q9UL63,O60832,Q96EY7,Q9H0A0,Q13310,Q6PKG0,Q96EB6,Q96SI9,Q9H2U1,P26373,Q96CB9,P10809,P68400,Q5JU69,O75616"
Complex_172,"O00767,P00167,P00387"
Complex_173,"P47755,P47756,P52907,Q9UJX3,Q9Y6A5"
Complex_174,"P05783,P05787,P08727"
Complex_175,"P35579,P35580,P35749,P60660"
Complex_176,"O14880,P07099,P10620"
Complex_177,"O96000,P61009,P67812,Q15005,P35222"
Complex_178,"P24534,P26640,P26641,P29692,P68104,Q05639"
Complex_179,"P56937,Q15392,Q15738"
Complex_180,"Q13045,Q32MZ4"
Complex_181,"O94826,Q14257,Q15388,Q9H9B4"
Complex_182,"O94927,Q68CZ6,Q9BT25"
Complex_183,"P21926,P48509,P60033,Q9P2B2"
Complex_184,"P20339,P61006,P51159"
Complex_185,"P30260,Q13042,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_186,"Q9H3N1,Q9NX14"
Complex_187,"O15294,Q8IXI1,Q8IXI2"
Complex_188,"Q8TC12,Q9NP72,Q9NPF0,Q9NVH1,Q9UHQ9"
Complex_189,"O00165,O15126,P13591,P20339,P20340,P43304,P61019,P61106,Q9NRW1"
Complex_190,"O75616,P49406,P82933,Q13310,Q14197,Q6P1L8,Q6PKG0,Q7Z7F7,Q9BYC8"
Complex_191,"P30519,Q6UW68,O43759,Q9BU23,Q8N5K1"
Complex_192,"O75915,P13591,P23470,P29992,P61019,P78310,Q8NHG7,Q9UNN8,P00387"
Complex_193,"P20338,Q8NBX0"
Complex_194,"O75695,Q15003,Q969Z3"
Complex_195,"Q15005,Q6UWP7,Q9Y6A9"
Complex_196,"O94766,P35613,Q86Y56"
Complex_197,"Q92520,Q9H3K2"
Complex_198,"Q5T4S7,Q9NP81,Q9NUJ1,Q9P0J7"
Complex_199,"P35658,P37198,Q99567"
Complex_200,"O60749,O95219,Q13596"
Complex_201,"O60934,P49959,Q92878"
Complex_202,"Q96ST3,Q9UKL0"
Complex_203,"P21926,Q08722"
Complex_204,"P51809,Q12846"
Complex_205,"A5YKK6,O75175,P06730,Q92600,Q9C0C2,Q9H9A5,Q9NZN8,Q9UIV1"
Complex_206,"P09496,P09497,Q00610"
Complex_207,"O95229,P06756,P35222"
Complex_208,"O00743,Q04721,Q5H9R7,Q9UPN7,P78527"
